id,ideology,political_affiliation,race_white,hispanic,gender,income,age,bio
R_dbTpgNCUaQtIifr,slightly conservative,am an independent,white,,female,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am an independent. I am female. Financially, I am middle-class. In terms of my age, I am old. "
R_51QVYKmeIc9iLpH,slightly conservative,am a weak Republican,white,,male,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_9Fy2uWRvtBBSouh,liberal,lean towards Democrats,white,,female,very poor,old,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am female. Financially, I am very poor. In terms of my age, I am old. "
R_b444PyqTixypGPX,slightly conservative,lean towards Democrats,white,,male,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_55RM09n4GI3CF7v,conservative,am a strong Republican,white,,male,middle-class,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_a9SGe2Q0vqDwLIx,conservative,am a strong Republican,white,,female,very poor,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am very poor. In terms of my age, I am old. "
R_1M8vjCUUKzaKPOZ,slightly conservative,am a strong Republican,white,,male,upper-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a strong Republican. I am male. Financially, I am upper-class. In terms of my age, I am old. "
R_cUNJepsUmIkUTJP,liberal,lean towards Democrats,white,,male,,old,"Ideologically, I describe myself as liberal. Politically, I lean towards Democrats. I am male. In terms of my age, I am old. "
R_1TvgbSOyCqHdriB,extremely liberal,lean towards Democrats,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_5544QWHvSCPDRuB,slightly conservative,am a weak Democrat,white,,male,,very old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Democrat. I am male. In terms of my age, I am very old. "
R_bdrBWyOCANwjDiR,extremely conservative,am a strong Republican,white,,male,middle-class,old,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_dcDiLB7IoNxU1hz,slightly liberal,am a strong Democrat,white,,female,upper-class,old,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am female. Financially, I am upper-class. In terms of my age, I am old. "
R_ePf3FIJF8oNI6tD,extremely conservative,lean towards Rebublicans,white,,female,middle-class,young,"Ideologically, I describe myself as extremely conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am middle-class. In terms of my age, I am young. "
R_3UUExeZBCduQbI1,moderate,am a weak Democrat,,Hispanic,male,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. Racially, I am Hispanic. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_a8LEFbrH0Wp3qT3,slightly liberal,am an independent,white,,female,poor,old,"Ideologically, I describe myself as slightly liberal. Politically, I am an independent. I am female. Financially, I am poor. In terms of my age, I am old. "
R_1B4CIIcyN7bIqXj,moderate,am a weak Republican,white,,female,upper-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. "
R_6heI9KJCLmdeBDf,liberal,am a strong Democrat,white,,male,middle-class,old,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_9zdPVAvIwYXhMW1,conservative,am a strong Republican,white,,female,,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. In terms of my age, I am old. "
R_0HQBgJm7GmMFYzj,conservative,am a strong Republican,white,,male,upper-class,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am upper-class. In terms of my age, I am old. "
R_bBDUslRw4LHY51P,conservative,am a weak Republican,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_b3DH3y6PzY8itdH,moderate,am a weak Republican,white,,female,middle-class,young,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am young. "
R_29vXezNFzmN6esl,moderate,lean towards Rebublicans,white,,male,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am male. Financially, I am middle-class. In terms of my age, I am old. "
R_b1ThhJjBZVK9LPD,liberal,am a strong Democrat,white,,female,,old,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. In terms of my age, I am old. "
R_0P1koNuBT7ZjXVz,slightly liberal,am a strong Democrat,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. "
R_1YOIny0ZHw4T0rz,conservative,lean towards Rebublicans,white,,female,,old,"Ideologically, I describe myself as conservative. Politically, I lean towards Rebublicans. I am female. In terms of my age, I am old. "
