ideology,political_affiliation,race_white,hispanic,gender,income,age,bio,count
conservative,am a strong Republican,white,,female,middle-class,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am middle-class. In terms of my age, I am old. ",15
moderate,am an independent,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",13
moderate,am an independent,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",12
liberal,am a strong Democrat,white,,female,middle-class,old,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. Financially, I am middle-class. In terms of my age, I am old. ",12
slightly liberal,lean towards Democrats,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I lean towards Democrats. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",12
extremely liberal,am a strong Democrat,white,,female,middle-class,young,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am female. Financially, I am middle-class. In terms of my age, I am young. ",11
liberal,am a strong Democrat,white,,female,middle-class,young,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. Financially, I am middle-class. In terms of my age, I am young. ",10
extremely liberal,am a strong Democrat,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",10
conservative,am a strong Republican,white,,male,middle-class,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ",9
liberal,am a strong Democrat,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",9
moderate,am an independent,white,,female,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am female. Financially, I am middle-class. In terms of my age, I am old. ",9
conservative,am a strong Republican,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",9
liberal,am a strong Democrat,white,,male,middle-class,old,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am old. ",8
moderate,am an independent,white,,male,poor,old,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am poor. In terms of my age, I am old. ",8
slightly conservative,lean towards Rebublicans,white,,male,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am middle-class. In terms of my age, I am old. ",8
liberal,am a strong Democrat,white,,female,poor,middle-aged,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. Financially, I am poor. In terms of my age, I am middle-aged. ",8
moderate,am an independent,white,,male,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am male. Financially, I am middle-class. In terms of my age, I am old. ",8
liberal,am a strong Democrat,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",7
liberal,am a weak Democrat,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as liberal. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",7
extremely conservative,am a strong Republican,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",7
liberal,am a strong Democrat,white,,female,poor,old,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. Financially, I am poor. In terms of my age, I am old. ",7
extremely liberal,am a strong Democrat,white,,male,middle-class,young,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am young. ",7
slightly conservative,am a weak Republican,white,,female,middle-class,old,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am old. ",7
slightly conservative,am a weak Republican,white,,male,middle-class,young,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am young. ",6
moderate,am an independent,white,,female,middle-class,young,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am female. Financially, I am middle-class. In terms of my age, I am young. ",6
conservative,am a weak Republican,white,,female,middle-class,old,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am old. ",6
moderate,am an independent,white,,female,poor,old,"Ideologically, I describe myself as moderate. Politically, I am an independent. I am female. Financially, I am poor. In terms of my age, I am old. ",6
moderate,am a weak Republican,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",6
slightly conservative,am a weak Republican,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",6
slightly liberal,am a weak Democrat,white,,female,middle-class,old,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am old. ",5
slightly liberal,am a weak Democrat,white,,female,middle-class,young,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am young. ",5
moderate,lean towards Democrats,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as moderate. Politically, I lean towards Democrats. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",5
slightly liberal,am a weak Democrat,white,,female,poor,old,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. Financially, I am poor. In terms of my age, I am old. ",5
conservative,am a weak Republican,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",5
extremely liberal,am a strong Democrat,white,,female,middle-class,old,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am female. Financially, I am middle-class. In terms of my age, I am old. ",5
extremely conservative,am a strong Republican,white,,male,middle-class,old,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am male. Financially, I am middle-class. In terms of my age, I am old. ",5
slightly liberal,am a weak Democrat,white,,male,middle-class,old,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am male. Financially, I am middle-class. In terms of my age, I am old. ",5
liberal,am a strong Democrat,white,,female,poor,young,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am female. Financially, I am poor. In terms of my age, I am young. ",5
extremely conservative,am a strong Republican,white,,female,middle-class,old,"Ideologically, I describe myself as extremely conservative. Politically, I am a strong Republican. I am female. Financially, I am middle-class. In terms of my age, I am old. ",5
moderate,am a weak Democrat,white,,female,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am old. ",5
conservative,am a weak Republican,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as conservative. Politically, I am a weak Republican. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",5
liberal,am a weak Democrat,white,,female,middle-class,young,"Ideologically, I describe myself as liberal. Politically, I am a weak Democrat. I am female. Financially, I am middle-class. In terms of my age, I am young. ",5
slightly liberal,lean towards Democrats,white,,female,upper-class,old,"Ideologically, I describe myself as slightly liberal. Politically, I lean towards Democrats. I am female. Financially, I am upper-class. In terms of my age, I am old. ",5
conservative,am a strong Republican,white,,female,middle-class,very old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am middle-class. In terms of my age, I am very old. ",5
extremely liberal,am a strong Democrat,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as extremely liberal. Politically, I am a strong Democrat. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",5
conservative,am a strong Republican,white,,male,upper-class,old,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am male. Financially, I am upper-class. In terms of my age, I am old. ",5
conservative,am a strong Republican,white,,female,middle-class,young,"Ideologically, I describe myself as conservative. Politically, I am a strong Republican. I am female. Financially, I am middle-class. In terms of my age, I am young. ",5
slightly conservative,lean towards Rebublicans,white,,female,middle-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am female. Financially, I am middle-class. In terms of my age, I am middle-aged. ",5
liberal,am a strong Democrat,white,,male,poor,young,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am poor. In terms of my age, I am young. ",5
liberal,am a strong Democrat,white,,male,upper-class,middle-aged,"Ideologically, I describe myself as liberal. Politically, I am a strong Democrat. I am male. Financially, I am upper-class. In terms of my age, I am middle-aged. ",5
slightly conservative,lean towards Rebublicans,white,,male,middle-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am middle-class. In terms of my age, I am middle-aged. ",5
slightly conservative,am a weak Republican,white,,female,upper-class,middle-aged,"Ideologically, I describe myself as slightly conservative. Politically, I am a weak Republican. I am female. Financially, I am upper-class. In terms of my age, I am middle-aged. ",4
conservative,lean towards Rebublicans,white,,male,middle-class,old,"Ideologically, I describe myself as conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am middle-class. In terms of my age, I am old. ",4
conservative,lean towards Rebublicans,white,,male,middle-class,very old,"Ideologically, I describe myself as conservative. Politically, I lean towards Rebublicans. I am male. Financially, I am middle-class. In terms of my age, I am very old. ",4
moderate,lean towards Rebublicans,white,,male,middle-class,old,"Ideologically, I describe myself as moderate. Politically, I lean towards Rebublicans. I am male. Financially, I am middle-class. In terms of my age, I am old. ",4
slightly liberal,am a weak Democrat,white,,female,poor,middle-aged,"Ideologically, I describe myself as slightly liberal. Politically, I am a weak Democrat. I am female. Financially, I am poor. In terms of my age, I am middle-aged. ",4
